per-leg capacity at shipped scan settings — 8000 chunks, pool=50, 30 queries

Graph-leg note: project scoping is deliberately absent from that leg (it
inherits scope through its seeds), so its row varies with the seeds it is given,
not with the scope column. The temporal and status filters do apply.

SCOPE          LEG      REQUESTED  RETURNED  TRUNCATED  ACCESS
all            vector          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            fts             50         2        30/30  Seq Scan on chunks c
all            graph           50        50         0/30  Seq Scan on links l
narrow         vector          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         fts             50         0        30/30  Index Scan using chunks_note_path_ordinal_key on chunks c
narrow         graph           50        50         0/30  Bitmap Heap Scan on links l
wide           vector          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           fts             50         0        30/30  Seq Scan on chunks c
wide           graph           50        50         0/30  Bitmap Heap Scan on links l
with_archived  vector          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  fts             50         2        30/30  Seq Scan on chunks c
with_archived  graph           50        50         0/30  Seq Scan on links l
