vector leg capacity — 1600 notes x 5 chunks = 8000 chunks, pool=50

SCOPE          SETTING                  REQUESTED  RETURNED      SHORT  EMBEDDINGS ACCESS
all            PRE-FIX(ef=40,off)              50        35        30/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            session(inherits Connect)        50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            ef_search=200,iter=off          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            ef=40,iterative=relaxed         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            ef=40,iterative=strict          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            ef_search=200+relaxed           50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            ef_search=200+strict            50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
all            SHIPPED(ef=100+relaxed)         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
narrow         PRE-FIX(ef=40,off)              50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         session(inherits Connect)        50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         ef_search=200,iter=off          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         ef=40,iterative=relaxed         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         ef=40,iterative=strict          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         ef_search=200+relaxed           50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         ef_search=200+strict            50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
narrow         SHIPPED(ef=100+relaxed)         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_pkey on embeddings_synth_synth_d768_c40 e
wide           PRE-FIX(ef=40,off)              50        10        30/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           session(inherits Connect)        50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           ef_search=200,iter=off          50        44        17/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           ef=40,iterative=relaxed         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           ef=40,iterative=strict          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           ef_search=200+relaxed           50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           ef_search=200+strict            50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
wide           SHIPPED(ef=100+relaxed)         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  PRE-FIX(ef=40,off)              50        40        30/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  session(inherits Connect)        50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  ef_search=200,iter=off          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  ef=40,iterative=relaxed         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  ef=40,iterative=strict          50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  ef_search=200+relaxed           50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  ef_search=200+strict            50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e
with_archived  SHIPPED(ef=100+relaxed)         50        50         0/30  Index Scan using embeddings_synth_synth_d768_c40_hnsw_idx on embeddings_synth_synth_d768_c40 e

live chunks by project: total=12205 narrow=80 wide=1925
